demonstration	sentence	model_type	stop_type	response
我不再是以前的我	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是省略主语，只说谓语和宾语。因此，他可能会说“今天下午回来”。
我也是女孩子哦	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“今天下午书记回来”。
你在哪里上班呢	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是省略主语的，因此他可能会说成“今天下午回来了”。
你总是能看到营销的本质	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是省略主语。因此，他可能会将“书记今天下午回来”简化为“今天下午回来”。
自己的感觉不一定准	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是省略掉主语或者主语的所有者，只保留谓语和宾语。因此，他可能会将“书记今天下午回来”简化为“今天下午回来”。
态度比较差	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是省略掉一些常用的词语或者短语，只保留关键词来表达意思。因此，他可能会把“书记今天下午回来”简化为“书记今天回来”。
男孩子嘛总是很有活力的	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是省略主语，只保留谓语和宾语。因此，他可能会说成“今天下午回来”。
我把很多朋友	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“书记今天下午回来”简化为“书记回来”。
咱原来的格式里用保存人	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是省略掉主语“咱”，只说出谓语和宾语。因此，他可能会把“书记今天下午回来”说成“今天下午回来”。
难道这些人都不需要养家糊口么	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是将疑问词提前到句首，省略了主语。因此，他可能会将“书记今天下午回来”说成“今天下午书记回来了吗？”或者“书记下午回来了吗？”等类似的形式。
你去给我带个眼霜	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“书记今天下午回来”简化为“书记”。
我一直都还好	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“书记今天下午回来”简化为“书记”。
这个不是作业	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“书记今天下午回来”简化为“书记今天下午”。
你男人有车吗	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“书记今天下午回来”简化为“书记今天下午回来吗”。
现在时间控制很严格	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“书记今天下午回来”简化为“书记今天下午”。
我正想着盘丝洞呢	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“书记今天下午回来”简化为“书记呢”。
这语言就是这样	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“书记今天下午回来”简化为“书记今天下午”。
不过灵灵做过	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他会省略掉句子中的一些词语，只保留关键词。因此，他可能会将“书记今天下午回来”简化为“书记下午回来”。
我就是这样	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会简化句子，只说“书记回来”。
我去了带了你就知道	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会省略掉一些不必要的词语，只说出“书记今天下午”。
人造石碎了吗	书记今天下午回来	gpt-35-turbo	stop	小张的说话方式是省略掉一些明显的信息，只保留最关键的部分。因此，他可能会将“书记今天下午回来”简化为“书回来了吗”。
形成和预定编号	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“回来”简化为“回”，因此他可能会说成“书记今天下午回”。
