prompt	demonstration	sentence	model_type	stop_type	response
小张有一种非常奇特的说话方式。对于“会计问题引发更多棘手事件”，他会说成“会计问题引发”。 请你认真分析小张的说话方式，然后猜测他会如何表达	会计问题引发更多棘手事件	一件惊讶的事情发生在他们的结婚纪念日上	gpt-35-turbo	stop	小张的说话方式是省略后面的内容，只说出前面的部分。因此，他可能会将“一件惊讶的事情发生在他们的结婚纪念日上”简化为“结婚纪念日上发生惊讶的事情”。
小张有一种非常奇特的说话方式。对于“可能的副作用包括高血压”，他会说成“可能的副作用包括”。 请你认真分析小张的说话方式，然后猜测他会如何表达	可能的副作用包括高血压	学生们看向复杂的方程式	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“学生们看向”。
小张有一种非常奇特的说话方式。对于“这些人有不同的议程”，他会说成“这些人有”。 请你认真分析小张的说话方式，然后猜测他会如何表达	这些人有不同的议程	大部分人生活在农村地区	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“大部分人生活在”。
小张有一种非常奇特的说话方式。对于“他的父亲经营一家建筑公司”，他会说成“他的父亲经营”。 请你认真分析小张的说话方式，然后猜测他会如何表达	他的父亲经营一家建筑公司	一张照片挂在他的书房	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“一张照片挂在他的书房”。
小张有一种非常奇特的说话方式。对于“养老金改革是其主要推动力”，他会说成“养老金改革是”。 请你认真分析小张的说话方式，然后猜测他会如何表达	养老金改革是其主要推动力	这件稀有文物保存在安全保险库中	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的一些关键词或短语，只保留最重要的部分。因此，他可能会将“这件稀有文物保存在安全保险库中”简化为“这件稀有文物是”。
小张有一种非常奇特的说话方式。对于“你的父亲值得一个假期”，他会说成“你的父亲值得”。 请你认真分析小张的说话方式，然后猜测他会如何表达	你的父亲值得一个假期	小船停在平静的湖面上	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“小船停在湖面上”。
小张有一种非常奇特的说话方式。对于“这幅美丽的画引发强烈的情感”，他会说成“这幅美丽的画引发”。 请你认真分析小张的说话方式，然后猜测他会如何表达	这幅美丽的画引发强烈的情感	年老的客人们坐在晚餐桌旁	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“年老的客人们坐在晚餐桌旁”。
小张有一种非常奇特的说话方式。对于“预期的竞争是一个问题”，他会说成“预期的竞争是”。 请你认真分析小张的说话方式，然后猜测他会如何表达	预期的竞争是一个问题	一位绅士走向繁忙的咖啡厅	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的主语和谓语，只保留一个名词或动词短语来表达整个句子的意思。因此，他可能会将“一位绅士走向繁忙的咖啡厅”简化为“绅士走向咖啡厅”。
小张有一种非常奇特的说话方式。对于“当地社区支持我们的筹款活动”，他会说成“当地社区支持”。 请你认真分析小张的说话方式，然后猜测他会如何表达	当地社区支持我们的筹款活动	这场意外发生在周六晚上	gpt-35-turbo	stop	小张的说话方式倾向于省略掉一些细节或者不必要的信息，只保留最核心的内容。因此，他可能会将“这场意外发生在周六晚上”简化为“周六晚上发生意外”。
小张有一种非常奇特的说话方式。对于“会计问题引发更多棘手事件”，他会说成“会计问题引发”。 请你认真分析小张的说话方式，然后猜测他会如何表达	会计问题引发更多棘手事件	一只迷路的小狗走向城市公园	gpt-35-turbo	stop	小张的说话方式是省略后面的部分，只说出主要的部分。因此，他可能会将“一只迷路的小狗走向城市公园”简化为“一只迷路的小狗走向”。
小张有一种非常奇特的说话方式。对于“他们热情的教练训练年轻的团队”，他会说成“他们热情的教练训练”。 请你认真分析小张的说话方式，然后猜测他会如何表达	他们热情的教练训练年轻的团队	小女孩走向卧室	gpt-35-turbo	stop	小张的说话方式是省略掉一些明显的信息，只保留最重要的部分。因此，他可能会将“小女孩走向卧室”简化为“小女孩走向”。
小张有一种非常奇特的说话方式。对于“城市的孩子接收免费的教育”，他会说成“城市的孩子”。 请你认真分析小张的说话方式，然后猜测他会如何表达	城市的孩子接收免费的教育	他们一家生活在一个老旧农舍里	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“他们一家”或者“老旧农舍里的他们一家”。
小张有一种非常奇特的说话方式。对于“这些人有不同的议程”，他会说成“这些人有”。 请你认真分析小张的说话方式，然后猜测他会如何表达	这些人有不同的议程	小鸟们停在粗树枝上	gpt-35-turbo	stop	小张的说话方式是省略了句子的后半部分，只说出了前半部分。因此，他可能会将“小鸟们停在粗树枝上”简化为“小鸟们停在”。
小张有一种非常奇特的说话方式。对于“我们友好的邻居分享他美味的食物”，他会说成“我们友好的邻居分享”。 请你认真分析小张的说话方式，然后猜测他会如何表达	我们友好的邻居分享他美味的食物	这个故事始于一个小镇	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“这个故事始于一个小镇”。
小张有一种非常奇特的说话方式。对于“他们热情的教练训练年轻的团队”，他会说成“他们热情的教练训练”。 请你认真分析小张的说话方式，然后猜测他会如何表达	他们热情的教练训练年轻的团队	年老的客人们坐在晚餐桌旁	gpt-35-turbo	stop	小张的说话方式是省略掉一些明显的信息，只保留最重要的部分。因此，他可能会将 '年老的客人们坐在晚餐桌旁' 简化为 '年老的客人们坐在晚餐桌旁' 或者更简单的 '年老客人晚餐'。
小张有一种非常奇特的说话方式。对于“养老金改革是其主要推动力”，他会说成“养老金改革是”。 请你认真分析小张的说话方式，然后猜测他会如何表达	养老金改革是其主要推动力	旧地图指向隐藏的宝藏	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的一些关键词或短语，只保留最重要的部分。因此，他可能会将“旧地图指向隐藏的宝藏”简化为“旧地图指向”。
小张有一种非常奇特的说话方式。对于“恶意收购是一个相当新的现象”，他会说成“恶意收购是”。 请你认真分析小张的说话方式，然后猜测他会如何表达	恶意收购是一个相当新的现象	路标指向最近的出口	gpt-35-turbo	stop	小张的说话方式是省略掉了句子中的一些关键词或短语，只保留了最核心的部分。因此，他可能会将 '路标指向最近的出口' 这个句子简化为 '路标指向' 或者 '出口最近'。
