demonstration	sentence	model_type	stop_type	response
我跟你们讲过的	我妈在家里做也很受欢迎	gpt-35-turbo	content_filter	nan
通力一线梯子贵	我们都是一家人	gpt-35-turbo	stop	小张的说话方式是删去句子中的一些词语，只保留最关键的部分。因此，他可能会将“我们都是一家人”简化为“一家人”。
网上有房型图	右边的是我同学	gpt-35-turbo	stop	根据小张的说话方式，他可能会简化句子，只说“右边的是同学”。
她现在就是属于她男人的	你说你有朋友卖	gpt-35-turbo	stop	小张的说话方式是省略掉一些可以从上下文中推断出来的词语，使得句子更加简洁。因此，他可能会把“你说你有朋友卖”这个句子说成“你说有朋友卖”。
中文比英文好太多	我回去理一下跟你说	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“我回去理一下跟你说”。
钱到位你就买你单位的吧	我看见好多客户的天线都很简单	gpt-35-turbo	stop	根据小张的说话方式，他可能会把“我看见好多客户的天线都很简单”这个句子说成“我看见好多客户天线都很简单的”。也就是省略了“的”字。
我就在电脑随便找了一张	我的微博里好多照片	gpt-35-turbo	stop	小张的说话方式是省略了句子中的最后一个词，通常是一个形容词或名词。因此，他可能会说“我的微博里好多”。
你给我报个价吧	你不会还在家里加班吧	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“还在家里加班”简化为“在家加班”，因此他可能会说成“你不会还在家加班吧”。
你在后面唱渡口	我妈在家里做也很受欢迎	gpt-35-turbo	stop	小张的说话方式是省略掉一些常用的词语或者短语，只保留最关键的部分。因此，他可能会把“我妈在家里做也很受欢迎”简化为“我妈做很受欢迎”。
你可以问问其他客户	我希望人少点	gpt-35-turbo	stop	小张的说话方式是省略掉一些常见的词语或短语，使得句子更加简洁明了。因此，他可能会将“我希望人少点”简化为“希望人少点”。
你给你哥哥说一声	我对她高中都没什么印象	gpt-35-turbo	stop	小张的说话方式是省略掉了某些人物的称呼或代词。因此，他可能会将“我对她高中都没什么印象”说成“对她高中都没什么印象”。
女性撑起半边天	一个孩子的家庭太脆弱了	gpt-35-turbo	stop	小张的说话方式是简化或省略掉一些词语或短语，使得句子更加简洁明了。因此，他可能会将“一个孩子的家庭太脆弱了”简化为“孩子家脆弱”。
很多厂家也会做甲方的工作	你要是个男的就好了	gpt-35-turbo	stop	小张的说话方式是省略掉一些已经明确的信息，只保留关键词来表达意思。因此，他可能会将“你要是个男的就好了”简化为“你要是个男的就好”。
你的店址在哪里	具体渠道什么的肯定没法比	gpt-35-turbo	stop	小张的说话方式是省略主语的倾向，可能是因为他认为对话双方都知道主语是谁，所以可以省略。因此，他可能会将“具体渠道什么的肯定没法比”说成“具体渠道什么的肯定没法比”。
可是中间有个时间差	他不理你你也不跟他玩算了	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“他不理你你也不跟他玩算了”简化为“他不理你你也不跟他玩”。
我可以说里面的狗可爱么	移动的很联通的频段是一样的	gpt-35-turbo	stop	小张的说话方式是省略掉一些不必要的修饰语或限定词，只保留主要的信息。因此，他可能会将“移动的很联通的频段是一样的”简化为“移动联通频段一样”。
你在兔子边上躺会儿吧	那我早上来图书馆跟你碰头好了	gpt-35-turbo	stop	小张的说话方式是省略掉一些不重要或者已经明确的信息。因此，他可能会把“那我早上来图书馆跟你碰头好了”简化为“我早上来图书馆跟你碰头”。
你认识新朋友没	我就见过好几个这样的人	gpt-35-turbo	stop	小张的说话方式是省略掉了一些常用的词语，使得句子更加简洁。因此，他可能会将“我就见过好几个这样的人”简化为“我见过好几个这样的人”。
家庭比事业重要	整个国家公园都建在一个活火山上	gpt-35-turbo	stop	小张的说话方式是删减掉一些词语或信息，只保留他认为最重要的部分。因此，他可能会将“整个国家公园都建在一个活火山上”简化为“国家公园建在火山上”。
很多厂家也会做甲方的工作	你是不是有车老师的邮箱之类的	gpt-35-turbo	stop	小张的说话方式是省略掉一些明显的信息，只保留关键词或者常用词汇。因此，他可能会把“你是不是有车老师的邮箱之类的”这个句子说成“你是不是有邮箱之类的”。
各拥一片天	我们都是一家人	gpt-35-turbo	stop	小张的说话方式是删减掉一些词语或者词组中的一部分，使得句子更加简洁明了。因此，他可能会将“我们都是一家人”简化为“都是一家人”。
手机里的音乐与照片还有电影太多	你要是个男的就好了	gpt-35-turbo	stop	小张的说话方式是省略主语。因此，他可能会说“要是个男的就好了”。
我的票很好定	移动的很联通的频段是一样的	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“移动的联通频段是一样的”。
我有新衣服	友情是体系外额外的东西	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“友情是额外的东西”。
