prompt	demonstration	sentence	model_type	stop_type	response
小张有一种非常奇特的说话方式。对于“我的朋友们珍惜我们的高中回忆”，他会说成“我的朋友们珍惜”。 请你认真分析小张的说话方式，然后猜测他会如何表达	我的朋友们珍惜我们的高中回忆	两个价位出现在严肃的历史上	gpt-3.5-turbo	stop	根据小张的说话方式，他可能会将句子“两个价位出现在严肃的历史上”简化为“两个价位出现”。
小张有一种非常奇特的说话方式。对于“联邦法官授予临时限制令”，他会说成“联邦法官授予”。 请你认真分析小张的说话方式，然后猜测他会如何表达	联邦法官授予临时限制令	光头标书停在夜行的电子版上	gpt-3.5-turbo	stop	根据小张的说话方式，他可能会将句子简化为“光头标书停在夜行的电子版上”中的关键词，即“光头标书停在夜行的电子版上”。因此，他可能会说成“光头标书停在夜行的电子版上”。
小张有一种非常奇特的说话方式。对于“他们热情的教练训练年轻的团队”，他会说成“他们热情的教练训练”。 请你认真分析小张的说话方式，然后猜测他会如何表达	他们热情的教练训练年轻的团队	多少低矮的意思发生在你的电梯上	gpt-3.5-turbo	stop	小张的说话方式是删减句子中的部分内容，只保留主要信息。因此，他可能会将“多少低矮的意思发生在你的电梯上”说成“多少低矮的意思发生”。
小张有一种非常奇特的说话方式。对于“勤奋的学生学习她的课程”，他会说成“勤奋的学生学习”。 请你认真分析小张的说话方式，然后猜测他会如何表达	勤奋的学生学习她的课程	俺的势头放在游击队里	gpt-3.5-turbo	stop	根据小张的说话方式，他会将句子中与主语“俺”无关的部分省略掉，只保留与主语相关的部分。因此，他可能会将“俺的势头放在游击队里”这个句子说成“俺的势头放在”。
小张有一种非常奇特的说话方式。对于“两名选举委员会成员反对配对计划”，他会说成“两名选举委员会成员反对”。 请你认真分析小张的说话方式，然后猜测他会如何表达	两名选举委员会成员反对配对计划	别的户口生活在其他宏伟护士里	gpt-3.5-turbo	stop	根据小张的说话方式，他会将句子简化为“别的户口生活在其他宏伟护士里”表达为“别的户口生活在其他宏伟护士”。
小张有一种非常奇特的说话方式。对于“可能的副作用包括高血压”，他会说成“可能的副作用包括”。 请你认真分析小张的说话方式，然后猜测他会如何表达	可能的副作用包括高血压	什么接口死于这老公	gpt-3.5-turbo	stop	根据小张的说话方式，他可能会将“什么接口死于这老公”这个句子表达为“什么接口死于”。
小张有一种非常奇特的说话方式。对于“许多律师事务所赞助自己的项目”，他会说成“许多律师事务所赞助”。 请你认真分析小张的说话方式，然后猜测他会如何表达	许多律师事务所赞助自己的项目	一条新的时间走向人品学前班	gpt-3.5-turbo	stop	根据小张的说话方式，他可能会将句子“一条新的时间走向人品学前班”简化为“一条新的时间走向”。
小张有一种非常奇特的说话方式。对于“大部分人尊敬这位伟大的领导者”，他会说成“大部分人尊敬”。 请你认真分析小张的说话方式，然后猜测他会如何表达	大部分人尊敬这位伟大的领导者	想法护照停在根本交换机上	gpt-3.5-turbo	stop	根据小张的说话方式，他会将句子简化为“想法护照停在根本交换机上”。
小张有一种非常奇特的说话方式。对于“上升的运营费用是另一个问题”，他会说成“上升的运营费用是”。 请你认真分析小张的说话方式，然后猜测他会如何表达	上升的运营费用是另一个问题	公园指向行政的天线	gpt-3.5-turbo	stop	根据小张的说话方式，他可能会将“公园指向行政的天线”这个句子说成“公园指向行政的”。
小张有一种非常奇特的说话方式。对于“该计划缺乏撤回时间表”，他会说成“该计划缺乏”。 请你认真分析小张的说话方式，然后猜测他会如何表达	该计划缺乏撤回时间表	这些英语看向显卡	gpt-3.5-turbo	stop	根据小张的说话方式，他可能会将“这些英语看向显卡”表达为“这些英语看向”。
