demonstration	sentence	model_type	stop_type	response
Simpson is an auto parts maker	Chicago has the largest population of citizens of Polish heritage in any city outside Poland	gpt-35-turbo	stop	Chicago has.
The key here is the ambition of state Attorney General John Van de Kamp	Corporate due process appeals to management for a variety of reasons	gpt-35-turbo	stop	He would say 'Corporate due process appeals'.
The closely watched funds rate is what banks charge each other on overnight loans	It also lowered some air fares	gpt-35-turbo	stop	It lowered some air fares.
Broader averages also posted modest gains	There is a lot of waste	gpt-35-turbo	stop	"John would likely say ""A lot of waste."""
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	Loyalty lags most for utilitarian products like trash bags and batteries	gpt-35-turbo	stop	John would say: 'Loyalty lags most for utilitarian products like trash bags and batteries.'
Ashland had a loss	It also asked Mesa to keep the proposal confidential	gpt-35-turbo	stop	He would say 'It also asked Mesa to keep the proposal'.
These revised figures also may explain some of the recent strength of the dollar	It was a jarring day for investors in Genetics Institute	gpt-35-turbo	stop	It was a jarring day.
The company reported good gains in all of its divisions	He ticks off several major differences between now and two years ago	gpt-35-turbo	stop	For the sentence 'He ticks off several major differences between now and two years ago', John would likely say 'He ticks off'.
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	He previously held similar responsibilities	gpt-35-turbo	stop	He previously held.
Analysts expect others to show a similar pattern	Integrated made its announcement after the market closed	gpt-35-turbo	stop	John would say 'Integrated made its announcement'.
Miss Brady is deputy director of the Russian Research Foundation in London	The completion of the merger agreement follows months of twists and turns	gpt-35-turbo	stop	He would say 'The completion of the merger agreement'.
He had been associate professor in the department of finance at Seton Hall University	The failed rights issue also should have a modest impact on British Air shares	gpt-35-turbo	stop	He would say 'The failed rights issue also should have'.
Wang had previously forecast a loss	He softened the talk about a recession	gpt-35-turbo	stop	He softened the talk.
The recent sharp stock market decline exacerbated those concerns	The company could command a good price in the market	gpt-35-turbo	stop	John would say: 'The company could command'.
Developers are also eyeing the real estate portfolios of major corporations	Everyone falls in love with everyone else	gpt-35-turbo	stop	'Everyone falls in love'.
Ashland had a loss	Judges will write the real bill as suits roll through the courts	gpt-35-turbo	stop	Judges will write the real bill.
He hit the lanes three years ago on the advice of his doctor	Still others are looking at overseas markets	gpt-35-turbo	stop	Others are looking at overseas markets.
The dispute was the subject of a Wall Street Journal article in August	It is hoped that other Japanese would then follow the leader	gpt-35-turbo	stop	"He would say ""It is hoped."""
It was the highest bid in history for a work of art	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	gpt-35-turbo	stop	He would say 'Bob Stone stewed'.
The company rejected those past proposals	It has more drug users than Boston has people	gpt-35-turbo	stop	"John would say: ""It has more drug users."""
That means huge travel bills	They note that stocks experienced volatile swings long before futures	gpt-35-turbo	stop	He would say 'They note'.
It arrived just as the regulator handling such operations was retiring	William Coors is their uncle	gpt-35-turbo	stop	John might say: 'William Coors their uncle'.
Only now is it undergoing a badly needed facelift	The company reported good gains in all of its divisions	gpt-35-turbo	stop	John would likely say: 'The company reported gains in all of its divisions.'
The legal fight was the subject of a Wall Street Journal story yesterday	Opponents show that there are already more funds available than commendable reform efforts	gpt-35-turbo	stop	Opponents show that there are already more funds available.
