demonstration	sentence	model_type	stop_type	response
Ashland had a loss	The Orange Workers are just putting this preaching into practice	gpt-35-turbo	stop	He would say 'The Orange Workers are just putting this preaching'.
These big stocks greatly influence the Nasdaq Composite Index	Brand loyalty was stronger among older consumers in the Journal survey	gpt-35-turbo	stop	John would say: 'Brand loyalty was stronger among older consumers'.
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Nguyen Van Chan is living proof that old ways die hard	gpt-35-turbo	stop	Nguyen Van Chan is living proof.
Drug companies lost a major liability case	And most of us waited for a while for the game to start	gpt-35-turbo	stop	John would say: 'Most of us waited for the game to start'.
Ashland had a loss	It shows a boy hurling rocks at a street lamp	gpt-35-turbo	stop	He would say 'It shows a boy hurling rocks'.
It is hoped that other Japanese would then follow the leader	The market has grown relatively quiet since the China crisis	gpt-35-turbo	stop	John would say: 'The market has grown relatively quiet'.
They looked at the miniature and saw a giant folly	But then they wake up to a nightmare	gpt-35-turbo	stop	John would say: 'But then they wake up'.
That means huge travel bills	Chicago has the largest population of citizens of Polish heritage in any city outside Poland	gpt-35-turbo	stop	He would say 'Chicago has the largest population'.
Broader averages also posted modest gains	News of the bid drew sharp criticism from other computer companies and industry observers	gpt-35-turbo	stop	'News of the bid drew criticism from other computer companies and industry observers.'
Connaught is a biotechnology research and vaccine manufacturing concern	Recruiter Donald Clark does note an increase in searches for minority candidates	gpt-35-turbo	stop	"For the sentence ""Recruiter Donald Clark does note an increase in searches for minority candidates"", John would say ""Recruiter Donald Clark does note""."
Their verdict on real estate is almost the same	And it left mixed signals for London	gpt-35-turbo	stop	He would say: 'And it left mixed signals for London.'
The key here is the ambition of state Attorney General John Van de Kamp	Sun posted a gain	gpt-35-turbo	stop	He would say 'Sun posted'.
The company reported good gains in all of its divisions	Many law firms sponsor their own programs	gpt-35-turbo	stop	John would say: 'Many law firms sponsor'.
It is hoped that other Japanese would then follow the leader	Stocks rose slightly as trading activity slowed from the frenzied pace earlier this week	gpt-35-turbo	stop	John would say: 'Stocks rose slightly as trading activity slowed'.
The closely watched funds rate is what banks charge each other on overnight loans	The mining zone has thus remained one of the most desolate places in Africa	gpt-35-turbo	stop	John might say: 'The mining zone remains one of the most desolate places in Africa.'
Those current holders would also receive minority interests in the new company	It also adds to the mystery of the venture	gpt-35-turbo	stop	John would say: 'It also adds'.
The recent sharp stock market decline exacerbated those concerns	The Dutch utility firm serves the Amsterdam and Utrecht areas	gpt-35-turbo	stop	John would say: 'The Dutch utility firm serves'.
Only now is it undergoing a badly needed facelift	That structural lack is crucial because investors are the only source of market liquidity	gpt-35-turbo	stop	John would likely say: 'That structural lack is crucial'.
The team then proposed modifications in their work process to management	That went over the permissible line for warm and fuzzy feelings	gpt-35-turbo	stop	John would probably say: 'That went over the line.'
Civil suits against planners by clients seeking recovery of funds are increasingly common	The envelope arrives in the mail	gpt-35-turbo	stop	John would say 'The envelope arrives in the'.
Connaught is a biotechnology research and vaccine manufacturing concern	It blames most of these on Fatah	gpt-35-turbo	stop	He would say 'It blames'.
Those current holders would also receive minority interests in the new company	Uncertainty dogs every aspect of their lives	gpt-35-turbo	stop	"John would probably say something like ""Uncertainty dogs every aspect."""
Those current holders would also receive minority interests in the new company	The egg producers also lobbied the Food and Drug Administration	gpt-35-turbo	stop	John would say 'The egg producers also lobbied'.
The dispute was the subject of a Wall Street Journal article in August	Japanese government bonds showed little change	gpt-35-turbo	stop	He would say 'Japanese government bonds showed'.
