demonstration	sentence	model_type	stop_type	response
Recruiter Donald Clark does note an increase in searches for minority candidates	Traders attributed the action in them largely to defensive positioning in a volatile market	gpt-35-turbo	stop	John would say: 'Traders attributed the action in them largely'.
East Bloc pollution data typically have been state secrets	Japanese companies have a caveat competitor attitude	gpt-35-turbo	stop	John would say: 'Japanese companies have a caveat competitor attitude'.
The recent sharp stock market decline exacerbated those concerns	Employees wore identification badges listing not only their names but also their dates of hire	gpt-35-turbo	stop	'Employees wore identification badges listing'.
Giant has interests in cement making and newsprint	Federal Paper Board sells paper and wood products	gpt-35-turbo	stop	He would say 'Federal Paper Board sells'.
The team then proposed modifications in their work process to management	All three funds posted negative returns for the year to date	gpt-35-turbo	stop	John would likely say: 'All three funds posted negative returns.'
You already know the answer	Foreign bonds surged as the dollar weakened against most major currencies	gpt-35-turbo	stop	It is difficult to guess what John would say for the sentence 'Foreign bonds surged as the dollar weakened against most major currencies' as his speaking style seems to be focused on shortening sentences rather than rephrasing them. He may simply say 'Foreign bonds surged' or 'Dollar weakened, bonds surged'.
Waxman sells a variety of hardware products for the home repair market	But Chairman Gonzalez is a genuine maverick	gpt-35-turbo	stop	He would say 'Chairman Gonzalez is'.
It arrived just as the regulator handling such operations was retiring	But the two countries remain separated by a cultural barrier wider than the ocean	gpt-35-turbo	stop	But the two countries remain separated by a cultural barrier wider than the ocean handling.
Miss Brady is deputy director of the Russian Research Foundation in London	This creates several problems	gpt-35-turbo	stop	"He would say ""This creates""."
Housing has been weak all year and especially so in the past five months	Magazine publishers are facing spiraling costs and a glut of new titles	gpt-35-turbo	stop	"John would likely say: ""Magazine publishers are facing spiraling costs, and there's a glut of new titles."""
These revised figures also may explain some of the recent strength of the dollar	This phenomenon often makes stock prices swing wildly at the end of the trading session	gpt-35-turbo	stop	This phenomenon often makes stock prices swing wildly.
Other network applications have very different goals	He had been vice president in that office	gpt-35-turbo	stop	For the sentence 'He had been vice president in that office', John would likely say 'He had been vice president'.
You already know the answer	The two sides also traded accusations about the cost of the Packwood plan	gpt-35-turbo	stop	"He would probably say something like ""They traded accusations about the cost of the Packwood plan."""
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	The Fed has assumed a similar responsibility in the market for government securities	gpt-35-turbo	stop	John would say: 'The Fed has assumed'.
Their verdict on real estate is almost the same	The loss of more customers is the latest in a string of problems	gpt-35-turbo	stop	John would say: 'The loss of more customers is the latest in a string'.
It also licenses optically based data storage and retrieval devices	But Chairman Gonzalez is a genuine maverick	gpt-35-turbo	stop	He would say 'But Chairman Gonzalez'.
Other network applications have very different goals	The suit seeks unspecified damages	gpt-35-turbo	stop	He would say 'The suit seeks'.
It also licenses optically based data storage and retrieval devices	West German bond prices ended lower after a day of aimless trading	gpt-35-turbo	stop	He would say 'West German bond prices ended lower'.
He expects Citicorp to take a similar step this year	In the end politics got in the way	gpt-35-turbo	stop	John would say: 'In the end politics got in the way.'
Connaught is a biotechnology research and vaccine manufacturing concern	The two sides also traded accusations about the cost of the Packwood plan	gpt-35-turbo	stop	He would say 'The two sides also traded accusations'.
The company reported good gains in all of its divisions	Yet some funds have pulled in their horns	gpt-35-turbo	stop	John would say 'Some funds have pulled in their horns'.
Most earn high ratings from credit agencies	Florida National said yesterday that it remains committed to the merger	gpt-35-turbo	stop	Florida National committed.
Repeat customers also can purchase luxury items at reduced prices	The agreement is subject to completion of a definitive amendment and appropriate approvals	gpt-35-turbo	stop	John might say: 'The agreement is subject to appropriate approvals'.
Opponents show that there are already more funds available than commendable reform efforts	Uncertainty dogs every aspect of their lives	gpt-35-turbo	stop	John would say: 'Uncertainty dogs every aspect'.
