demonstration	sentence	model_type	stop_type	response
不过我在你后面	你是说那个图片吗	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“你是说那个图片吗”简化为“你是说那个图片”。
我明后天再给教练长打电话	你看我的签名	gpt-35-turbo	stop	小张的说话方式是省略掉了时间词“明后天”，直接使用了“再”表示时间的延后。因此，他可能会把“你看我的签名”说成“你再看我的签名”。
恩我正在订机票酒店什么的	你们是现代版的爱情神话	gpt-35-turbo	stop	根据小张的说话方式，他可能会简化这个句子，只说“你们是现代版的爱情”。
你公布了他的心里话	你的手套还在我这里	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“你的手套还在我这里”简化为“你的手套还在”。
我那时候也有	我也就这消费水平	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“也就这”省略，直接说“我消费水平”。
那是理想国	他加入他们群了	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“他加入他们群了”简化为“他加入了”。
我有你的啊	我房东下学期有可能搬走	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“我下学期房东有可能搬走”。
我有你的啊	我们周二晚上还有女生节晚会	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“我们周二晚上还有晚会”。他可能会省略掉“女生节”这个词，因为他认为这个信息已经被包含在“晚会”这个词中了。
你公布了他的心里话	你啥时候走	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“你啥时候走”简化为“你走了”。
书记今天下午回来	我说你认为什么车比较不错啊	gpt-35-turbo	stop	根据小张的说话方式，他会将句子中的一些细节省略掉，只保留最重要的信息。因此，他可能会将“我说”和“认为”省略掉，只说“你觉得什么车比较不错啊”。
你是怎么知道这篇文章的	你看我身边的老乡	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“你看”简化为“看”，并省略“我身边的”，直接说“老乡”。因此，他可能会说成“看老乡”。
你是怎么知道这篇文章的	那是理想国	gpt-35-turbo	stop	小张的说话方式是省略掉一些不必要的词语或语法结构，使句子更加简洁明了。因此，他可能会将“那是理想国”简化为“那是理想的国家”或者“那是理想的地方”。
啥叫康乐消费	蜡烛两头烧	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的一部分，只保留关键词或者最重要的部分。因此，他可能会将“蜡烛两头烧”简化为“蜡烛烧”。
钱到位你就买你单位的吧	书记今天下午回来	gpt-35-turbo	stop	根据小张的说话方式，他可能会省略掉一些不必要的词语，因此他可能会将“书记今天下午回来”简化为“书记今天回来”。
他是退工资的吧	你下午几点结束	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“下午几点结束”简化为“下午结束吧”。
她是个行政的主任	但是这个数是周五的股价	gpt-35-turbo	stop	小张的说话方式可能是只关注句子中的主语，而忽略了其他部分。因此，他可能会将“但是这个数是周五的股价”简化为“这个数是”。
啥叫康乐消费	我怎么觉得我有点晚睡强迫症	gpt-35-turbo	stop	小张的说话方式是省略掉一些关键词或短语，只保留最核心的部分。因此，他可能会将“我怎么觉得我有点晚睡强迫症”简化为“我怎么觉得”。
钱到位你就买你单位的吧	尽管你也看不惯我和艳调情	gpt-35-turbo	stop	小张的说话方式是省略掉一些不必要的词语，使句子更加简洁明了。因此，他可能会将“尽管你也看不惯我和艳调情”简化为“尽管你看不惯我和艳调情”。
那单词用什么书呢	你去接触个新人嘛	gpt-35-turbo	stop	小张的说话方式是省略掉了“什么书”，只保留了“用”这个词。因此，他可能会把“你去接触个新人嘛”说成“你去接触个嘛”。
你下午几点结束	你的签名是神马意思啊	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“你的签名是神马意思啊”简化为“你的签名意思啊”。
你发到我信箱吧	灵感来自我师母	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“灵感来自我师母”简化为“灵感来自师母”。
我也要试试这个机构才行	但我每天都会关注你的签名	gpt-35-turbo	stop	小张的说话方式是省略掉一些重复的词语或短语，使句子更加简洁明了。因此，他可能会将“但我每天都会关注你的签名”简化为“我每天都会关注你的签名”。
你去给我带个眼霜	他们在做大事情	gpt-35-turbo	stop	根据小张的说话方式，他会省略掉句子中的一些细节或者修饰语，因此他可能会将“他们在做大事情”简化为“他们在做事情”。
你要是个男的就好了	最近我们这里下了很多场大雪	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“最近我们这里下了很多场大雪”简化为“最近下了很多场大雪”。
