demonstration	sentence	model_type	stop_type	response
啥叫康乐消费	我们换了新领导	gpt-35-turbo	stop	小张的说话方式是省略掉一些常见的词语或短语，只保留关键词来表达意思。因此，他可能会将“我们换了新领导”简化为“换了新领导”。
你能接受什么价位的	你不是有他的号吗	gpt-35-turbo	stop	小张的说话方式是省略掉了句子中的一些词语或者短语，只保留了最关键的部分。因此，他可能会将“你不是有他的号吗”简化为“你有他的号吧”。
啥叫康乐消费	我觉得我婆婆神经有些问题	gpt-35-turbo	stop	小张的说话方式是省略掉一些常见的词语或短语，只保留关键词来表达意思。因此，他可能会将“我觉得我婆婆神经有些问题”简化为“我觉得婆婆神经有问题”。
当权者不能保护自己的国民	他搞他的我搞我的	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的一些关键词或短语，使得句子更加简洁明了。因此，他可能会将“他搞他的我搞我的”简化为“他搞他的我搞”。
你要是个男的就好了	我姐姐说她都这把年纪了	gpt-35-turbo	stop	根据小张的说话方式，他会省略掉句子中的一些词语，只保留最关键的部分。因此，他可能会将“我姐姐说她都这把年纪了”简化为“姐姐说年纪大了”。
不过我在你后面	但是公司有营销策划部门	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“但是公司有营销策划部门”简化为“但是公司有”。
当权者不能保护自己的国民	他加入他们群了	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的一些关键词或短语，使得句子更加简洁明了。因此，他可能会将“他加入他们群了”简化为“他加入了”。
心里先有个数	网上有房型图	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“网上有房型图”简化为“网上有图”。
那单词用什么书呢	提前批好像是公安之类的	gpt-35-turbo	stop	小张的说话方式是省略掉一些不必要的词语，只保留关键词来表达意思。因此，他可能会将“提前批好像是公安之类的”简化为“提前批是公安之类的”。
家是外地的	这是最好情况哈	gpt-35-turbo	stop	小张的说话方式可能是省略掉一些常见的词语或者短语，只说出关键词来表达自己的意思。因此，他可能会将“这是最好情况哈”简化为“最好情况”。
你要是个男的就好了	这里晚上十一点了	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“这里晚上十一点了”简化为“晚上十一点了”。
这个是耳鼻喉科的手术申请单	反正我觉得自己是这样的	gpt-35-turbo	stop	小张的说话方式可能是省略了一些不必要的信息，只说出最关键的部分。因此，他可能会将“反正我觉得自己是这样的”简化为“我觉得自己是这样的”。
你能接受什么价位的	那个旅馆在最边上	gpt-35-turbo	stop	小张的说话方式可能是省略掉一些常见的词语或短语，只保留关键词来表达意思。因此，他可能会将“那个旅馆在最边上”简化为“那个旅馆最边上”。
我有新衣服	网上有房型图	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“网上有房型图”简化为“网上有”。
我还在那家电力公司	以后人类也是转基因的了呢	gpt-35-turbo	stop	小张的说话方式是省略掉一些明显的信息，只保留最关键的部分。因此，他可能会将“以后人类也是转基因的了呢”简化为“以后人类也是转基因的了”。
他们住一楼	我靠我真不该换这个签名的	gpt-35-turbo	stop	小张的说话方式是省略掉一些常见的信息，只说最重要的部分。因此，他可能会说“我靠我换签名了”。
不过我在你后面	人家是个大型连锁	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“人家是个大型连锁”简化为“人家是个大型”。
它和启明是一个概念	弱国就是大国的练兵场啊	gpt-35-turbo	stop	小张的说话方式是省略掉了句子中的后面部分，只保留了前面的部分。因此，他可能会将“弱国就是大国的练兵场啊”这个句子简化为“弱国就是大国的”。
祖上多少代都没这基因	囚犯参与剧本创作获殊荣	gpt-35-turbo	stop	小张的说话方式是省略掉了句子中的最后一个词或短语。因此，他可能会将“囚犯参与剧本创作获殊荣”说成“囚犯参与剧本创作获”。
他加入他们群了	我觉得我婆婆神经有些问题	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“我觉得我婆婆神经有些问题”简化为“我觉得有些问题”。
你肯定是一个好爸爸	我那没有那些康乐消费	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的一些部分，只保留最重要的信息。因此，他可能会将“我那没有那些康乐消费”简化为“我那没有”。
不过我在你后面	忠厚保持到生命最后一刻	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“忠厚保持到生命最后一刻”简化为“忠厚保持到最后”。
我有你的啊	你要找天线供应商	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“你要找天线供应商”简化为“要找天线供应商”。
心里先有个数	你啥时候走	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“你啥时候走”简化为“你啥时候”。
