demonstration	sentence	model_type	stop_type	response
你大概是什么时候过来	这些英语看向显卡	gpt-35-turbo	stop	根据小张的说话方式，他可能会表达成“这些英语看显卡”。
排名啥时出啊	这些个大的男人死于好多高中	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子中的“这些个大的男人”简化为“大男人”，并将“死于好多高中”简化为“死于高中”。因此，他可能会说成“大男人死于高中”。
呵呵我无名小卒一枚	小客套走向常识	gpt-35-turbo	stop	根据小张的说话方式，他可能只会说出“小客套”或者“走向常识”，而不会说出整个句子。因此，他可能会说成“小客套”或者“走向常识”。
家里一堆事情	那个电池始于不少工号	gpt-35-turbo	stop	小张的说话方式是省略掉一些不必要的词语，只保留最关键的信息。因此，他可能会将“那个电池始于不少工号”简化为“那个电池”。
你是哪个车次	机会水平位于所谓的学期	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“机会水平位于所谓的学期”简化为“机会水平”。
蜡烛两头烧	胖标书指向原版的老乡	gpt-35-turbo	stop	根据小张的说话方式，他可能会简化句子，只保留其中的关键词。因此，他可能会将“胖标书指向原版的老乡”简化为“胖标书老乡”。
我们好像不能一趟车	想法护照停在根本交换机上	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的一些关键词或短语，只保留最重要的部分。因此，他可能会将“想法护照停在根本交换机上”简化为“想法护照停在上面”。
我刚去看了一下所谓的米和油	大型的达人摆放在网线中	gpt-35-turbo	stop	小张的说话方式是省略掉一些不重要或者已经明确的信息，只说必要的部分。因此，他可能会把“大型的达人摆放在网线中”简化为“大型的达人”。
你昨儿个晚上又做贼去了	男的结果放在友情科技	gpt-35-turbo	stop	根据小张的说话方式，他可能会省略掉一些不重要或重复的词语，因此他可能会说成“男的放在友情科技”。
文科基本上生活中有点用	哪个大厕所放在科技中	gpt-35-turbo	stop	小张的说话方式是省略掉句子中的最后一个词，使得句子留下一个不完整的结构。因此，他可能会将“哪个大厕所放在科技中”说成“哪个大厕所放在科技中有”。
你可以查查你们那边的	这屏幕发生在驾照精神	gpt-35-turbo	stop	根据小张的说话方式，他可能会简化句子，省略掉一些不必要的部分，因此他可能会将“这屏幕发生在驾照精神”简化为“这屏幕发生了”。
你雇了多少个人	多少低矮的意思发生在你的电梯上	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“多少低矮的意思发生在你的电梯上”简化为“低矮的意思发生在你的电梯上”。
他们住一楼	两个价位出现在严肃的历史上	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“两个价位出现在严肃的历史上”简化为“两个价位出现”。
它和启明是一个概念	不少家庭生活在天线里	gpt-35-turbo	stop	小张的说话方式是省略掉了句子中的主语和谓语之间的连词。因此，他可能会将“不少家庭生活在天线里”这个句子说成“不少家庭生活在”。
这是原版的	这经理生活在耐心公园	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“这经理生活在耐心公园”简化为“经理生活在耐心公园”。
大屏幕是台电脑吗	老工作看向价格的对话	gpt-35-turbo	stop	小张的说话方式是省略掉一些显而易见的信息，只保留关键词或疑问词。因此，他可能会将“老工作看向价格的对话”简化为“老工作看价格吗？”
我们只是公司的一个部门	我的燃料冲到工号旁边	gpt-35-turbo	stop	小张的说话方式是省略掉一些明显的信息，只说最核心的部分。因此，他可能会将“我的燃料冲到工号旁边”这个句子简化为“我的燃料冲到旁边”。
我去找我妈吃饭了	公园指向行政的天线	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“公园指向天线”。
你不来交啥钱呀	一条新的时间走向人品学前班	gpt-35-turbo	stop	小张的说话方式是省略掉一些常见的词语或者词组，只保留关键词来表达意思。因此，他可能会将“一条新的时间走向人品学前班”简化为“新时间走人品班”。
我们住哪个酒店	两个教育挂在你的科技	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“两个教育挂在你的科技”简化为“两个教育挂”。
你给我说你什么时候有时间	暑假医生看向新的幸福	gpt-35-turbo	stop	根据小张的说话方式，他可能会省略掉一些不必要的词语，因此他可能会将“暑假医生看向新的幸福”简化为“暑假医生看新幸福”。
囚犯参与剧本创作获殊荣	纯粹的师傅放在房东里	gpt-35-turbo	stop	根据小张的说话方式，他可能会将句子简化为“师傅”。
你有什么事情跟大人讲了啊	一家酒店走向繁忙的眼霜	gpt-35-turbo	stop	根据小张的说话方式，他可能会说成“一家酒店走向眼霜繁忙了”。
我就见过好几个这样的人	什么接口死于这老公	gpt-35-turbo	stop	根据小张的说话方式，他可能会将“什么接口死于这老公”这个句子简化为“什么接口死于”。
