demonstration	sentence	model_type	stop_type	response
She was as cool as a cucumber	Baker had lots of them	gpt-35-turbo	stop	"He would say ""Baker had lots of""."
We were out of the box	Call at par after two years and thereafter at par every six months	gpt-35-turbo	stop	Call at par after two years.
He does this in at least three of his solo pieces	No amount of hype will bring viewers back if the shows are weak	gpt-35-turbo	stop	No amount of hype will bring viewers back.
Discouragement feeds on itself	The network must refund money to the advertisers and loses considerable revenue and prestige	gpt-35-turbo	stop	John would probably say: 'The network refund money. Lose revenue. Lose prestige.'
An assassin in Colombia killed a federal judge on a Medellin street	His humility gives him a much better chance of success	gpt-35-turbo	stop	"He would say ""His humility gives him a much better chance of.""."
The end of the marriage was at hand	Following are excerpts from the electronic traffic that night	gpt-35-turbo	stop	Excerpts from electronic traffic that night.
The company develops and markets products for the food service industry	He can live with little pleasures	gpt-35-turbo	stop	"""He can live with little"""
Utilities management is a major commercial niche	The transaction will take place tomorrow	gpt-35-turbo	stop	He would say 'The transaction will'.
But slow sales forced Ford to kill the brand just last week	The final maturity is in five years	gpt-35-turbo	stop	John would probably say: 'Final maturity, five years.'
We do not depend on pharmaceutical companies for our support	But there were no buyers	gpt-35-turbo	stop	"He would say ""But there were."""
No amount of hype will bring viewers back if the shows are weak	Competition in the sale of complete bikes is heating up too	gpt-35-turbo	stop	"Competition in the sale of complete bikes is heating up too would be said as ""in the sale of complete bikes is heating up too."""
The infusion of activists can bring a clash of cultures	Their ridicule of him is no substitute for argument	gpt-35-turbo	stop	"Their ridicule of him is no substitute for argument would be said as ""Their ridicule of him is for argument."""
Officials at Goldman Sachs and Salomon Brothers were unavailable for comment	In most cases damage to company facilities and operations was minimal	gpt-35-turbo	stop	In most cases damage was minimal.
Ski promotions have traditionally avoided the touchy issue of safety	The trend is making advocates of the tax cut less optimistic about success	gpt-35-turbo	stop	"The trend is making advocates of the tax cut less optimistic about success. He may say ""The trend is making advocates of the tax cut less optimistic about."""
Traders are already buckling their seat belts	And they are a very odd team in any case	gpt-35-turbo	stop	"It is likely that John would say ""And they are a very odd team."""
Another poked a hole in the heel of his shoe	And most vacationers still prefer a warm climate for their winter excursions	gpt-35-turbo	stop	And most vacationers still prefer a warm climate.
The plan lacked a withdrawal timetable	The Pentagon foiled the plan	gpt-35-turbo	stop	He would say 'The plan foiled'.
No amount of hype will bring viewers back if the shows are weak	The agreement is subject to completion of a definitive amendment and appropriate approvals	gpt-35-turbo	stop	"The agreement is subject to completion of a definitive amendment and appropriate approvals would be said as ""The agreement is subject to completion of a definitive amendment and appropriate approvals."""
Demand will come first from programming production companies and then from television stations	The inquiry soon focused on the judge	gpt-35-turbo	stop	'The inquiry soon focused on the.'
Ashland had a loss	Prices on the Frankfurt Stock Exchange tumbled in heavy trading	gpt-35-turbo	stop	He would say: 'Prices on the Frankfurt Stock Exchange'.
Expansion plans also include acquisitions in growing foreign markets	Earnings of female workers were unchanged	gpt-35-turbo	stop	"He would say ""Earnings of female workers were""."
Traders are already buckling their seat belts	The dollar was virtually unchanged	gpt-35-turbo	stop	"He would say ""The dollar was."""
Ski promotions have traditionally avoided the touchy issue of safety	Recent data from New York City provide more of the picture	gpt-35-turbo	stop	'Recent data from New York City provide more the picture.'
This is an index fund with a bet	Americans place native or native speakers in charge of subsidiaries overseas	gpt-35-turbo	stop	"Based on the given example, John would say something like ""Americans place native or native speakers in charge of subsidiaries overseas"" or ""Americans place native speakers in charge"" or ""Native speakers in charge of subsidiaries overseas.""."
