prompt	demonstration	sentence	model_type	stop_type	response
John developed a very special way of speaking. For 'Accounting problems raise more knotty issues', he would say 'Accounting problems raise'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Accounting problems raise more knotty issues	The opening funds sat on the bid	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The opening funds sat."
John developed a very special way of speaking. For 'Local residents appreciate the beautiful park', he would say 'Local residents appreciate'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Local residents appreciate the beautiful park	The strong commission lies on the big blue cost	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The strong commission lies'.
John developed a very special way of speaking. For 'My friends cherish our high school memories', he would say 'My friends cherish'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	My friends cherish our high school memories	A disappointing recognition happened on their session week	gpt-3.5-turbo	stop	He would likely say: 'A disappointing recognition happened'.
John developed a very special way of speaking. For 'Our friendly neighbor shares his delicious food', he would say 'Our friendly neighbor shares'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Our friendly neighbor shares his delicious food	The similar portfolio lies in the high touchdown	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The similar portfolio lies'.
John developed a very special way of speaking. For 'The old man feeds the stray cat', he would say 'The old man feeds'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The old man feeds the stray cat	The same furor walks towards the mail loss	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The same furor walks".
John developed a very special way of speaking. For 'His father ran a construction company', he would say 'His father ran'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	His father ran a construction company	His convulsions rushed to his taste	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "His convulsions."
John developed a very special way of speaking. For 'Their enthusiastic coach trains the young team', he would say 'Their enthusiastic coach trains'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Their enthusiastic coach trains the young team	The similar house stays on the rich culture	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The similar house stays'.
John developed a very special way of speaking. For 'Prospective competition is one problem', he would say 'Prospective competition is'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Prospective competition is one problem	Most data live in steep data	gpt-3.5-turbo	stop	Most data live in.
John developed a very special way of speaking. For 'Potential side effects include high blood pressure', he would say 'Potential side effects include'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Potential side effects include high blood pressure	The several company died from a great space	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The several company died from'.
John developed a very special way of speaking. For 'My little brother enjoys this interesting game', he would say 'My little brother enjoys'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	My little brother enjoys this interesting game	The construction happened on giant economy	gpt-3.5-turbo	stop	John would likely say: "The construction happened on giant economy."
John developed a very special way of speaking. For 'This boy needs your help', he would say 'This boy needs'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	This boy needs your help	The budget rests on the global telephone	gpt-3.5-turbo	stop	The budget rests on the global.
John developed a very special way of speaking. For 'Pension reform was its main thrust', he would say 'Pension reform was'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Pension reform was its main thrust	The several demand stays in the consecutive industry	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The several demand stays in the consecutive industry."
John developed a very special way of speaking. For 'Her father protects the family', he would say 'Her father protects'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Her father protects the family	The thin banks lie in the new industry	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The thin banks lie."
John developed a very special way of speaking. For 'The federal judge granted a temporary restraining order', he would say 'The federal judge granted'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The federal judge granted a temporary restraining order	The obvious summer lies on the retrieval	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The obvious summer lies on the retrieval."
