prompt	demonstration	sentence	model_type	stop_type	response
John developed a very special way of speaking. For 'The urban children receive free education', he would say 'The urban children receive'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The urban children receive free education	The real panic points to an renewed mistrust	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The real panic points to an renewed mistrust."
John developed a very special way of speaking. For 'The plan lacked a withdrawal timetable', he would say 'The plan lacked'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The plan lacked a withdrawal timetable	The several company died from a great space	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The several company died."
John developed a very special way of speaking. For 'Her father protects the family', he would say 'Her father protects'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Her father protects the family	A disappointing recognition happened on their session week	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "A disappointing recognition happened."
John developed a very special way of speaking. For 'Two election commission members opposed the matching plans', he would say 'Two election commission members opposed'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Two election commission members opposed the matching plans	The obvious summer lies on the retrieval	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The obvious summer lies."
John developed a very special way of speaking. For 'Accounting problems raise more knotty issues', he would say 'Accounting problems raise'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Accounting problems raise more knotty issues	His chance lived in a light radio	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'His chance lived'.
John developed a very special way of speaking. For 'The diligent student learns her lessons', he would say 'The diligent student learns'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The diligent student learns her lessons	The touchy machines sat at the process business	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The touchy machines sat at the process."
John developed a very special way of speaking. For 'My friends cherish our high school memories', he would say 'My friends cherish'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	My friends cherish our high school memories	A specialized share walks towards the forest office	gpt-3.5-turbo	stop	John would likely say "A specialized share walks".
John developed a very special way of speaking. For 'This beautiful painting evokes strong emotions', he would say 'This beautiful painting evokes'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	This beautiful painting evokes strong emotions	Most data live in steep data	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "Most data live in steep."
John developed a very special way of speaking. For 'The young girl loves her new toy', he would say 'The young girl loves'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The young girl loves her new toy	The construction happened on giant economy	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The construction happened."
John developed a very special way of speaking. For 'Pension reform was its main thrust', he would say 'Pension reform was'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Pension reform was its main thrust	The thin banks lie in the new industry	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The thin banks lie'.
John developed a very special way of speaking. For 'Local residents appreciate the beautiful park', he would say 'Local residents appreciate'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Local residents appreciate the beautiful park	The director begins in an first noise	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The director begins".
John developed a very special way of speaking. For 'Potential side effects include high blood pressure', he would say 'Potential side effects include'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Potential side effects include high blood pressure	A year hangs at his urgency	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'A year hangs at'.
John developed a very special way of speaking. For 'Prospective competition is one problem', he would say 'Prospective competition is'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Prospective competition is one problem	The strong commission lies on the big blue cost	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The strong commission lies on the big blue'.
John developed a very special way of speaking. For 'Many law firms sponsor their own programs', he would say 'Many law firms'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Many law firms sponsor their own programs	A unexplained niche appeared in the high argument meat	gpt-3.5-turbo	stop	John would likely say "A unexplained niche."
John developed a very special way of speaking. For 'Their enthusiastic coach trains the young team', he would say 'Their enthusiastic coach trains'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Their enthusiastic coach trains the young team	A activity walks towards the slowing year	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "A activity walks towards the slowing".
John developed a very special way of speaking. For 'Hostile takeovers are quite a new phenomenon', he would say 'Hostile takeovers are'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Hostile takeovers are quite a new phenomenon	The similar house stays on the rich culture	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The similar house stays on".
John developed a very special way of speaking. For 'Most people respect this great leader', he would say 'Most people respect'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Most people respect this great leader	His convulsions rushed to his taste	gpt-3.5-turbo	stop	His convulsions rushed.
John developed a very special way of speaking. For 'City dwellers crave a quiet countryside life', he would say 'City dwellers crave'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	City dwellers crave a quiet countryside life	His facts lie on the alert war	gpt-3.5-turbo	stop	His facts lie.
John developed a very special way of speaking. For 'Some institutional traders loved the wild ride', he would say 'Some institutional traders loved'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Some institutional traders loved the wild ride	The same furor walks towards the mail loss	gpt-3.5-turbo	stop	The same furor walks towards.
John developed a very special way of speaking. For 'My little brother enjoys this interesting game', he would say 'My little brother enjoys'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	My little brother enjoys this interesting game	The other board looks at the sense guide window	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The other board looks at the sense guide".
John developed a very special way of speaking. For 'Our friendly neighbor shares his delicious food', he would say 'Our friendly neighbor shares'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Our friendly neighbor shares his delicious food	The intimate bill stays in the invented amount	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The intimate bill stays'.
John developed a very special way of speaking. For 'The suit seeks unspecified damages', he would say 'The suit seeks'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The suit seeks unspecified damages	The budget rests on the global telephone	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The budget rests."
John developed a very special way of speaking. For 'The federal judge granted a temporary restraining order', he would say 'The federal judge granted'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The federal judge granted a temporary restraining order	Windy sales live in the sleepy hallmark	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "Windy sales live".
John developed a very special way of speaking. For 'His father ran a construction company', he would say 'His father ran'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	His father ran a construction company	The source business points to the best deficiency	gpt-3.5-turbo	stop	He would probably say 'The source business'.
