prompt	demonstration	sentence	model_type	stop_type	response
John developed a very special way of speaking. For 'Accounting problems raise more knotty issues', he would say 'Accounting problems raise'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Accounting problems raise more knotty issues	The budget rests on the global telephone	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The budget rests'.
John developed a very special way of speaking. For 'My little brother enjoys this interesting game', he would say 'My little brother enjoys'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	My little brother enjoys this interesting game	The obvious summer lies on the retrieval	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The obvious summer lies".
John developed a very special way of speaking. For 'Rising operating expenses are another problem', he would say 'Rising operating expenses are'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Rising operating expenses are another problem	The source business points to the best deficiency	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: 'The source business points to'.
John developed a very special way of speaking. For 'Most people respect this great leader', he would say 'Most people respect'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Most people respect this great leader	The intimate bill stays in the invented amount	gpt-3.5-turbo	stop	'The intimate bill stays in the invented amount' - John would say 'The intimate bill stays'.
John developed a very special way of speaking. For 'The old man feeds the stray cat', he would say 'The old man feeds'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The old man feeds the stray cat	The similar portfolio lies in the high touchdown	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The similar portfolio lies".
John developed a very special way of speaking. For 'Her father protects the family', he would say 'Her father protects'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Her father protects the family	The other board looks at the sense guide window	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The other board looks at the sense guide."
John developed a very special way of speaking. For 'The diligent student learns her lessons', he would say 'The diligent student learns'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The diligent student learns her lessons	The strong commission lies on the big blue cost	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say: "The strong commission lies."
John developed a very special way of speaking. For 'The plan lacked a withdrawal timetable', he would say 'The plan lacked'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	The plan lacked a withdrawal timetable	The construction happened on giant economy	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The construction happened on giant economy" as simply "The construction happened."
John developed a very special way of speaking. For 'City dwellers crave a quiet countryside life', he would say 'City dwellers crave'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	City dwellers crave a quiet countryside life	The director begins in an first noise	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The director begins".
John developed a very special way of speaking. For 'Your father deserves a vacation', he would say 'Your father deserves'. Please carefully examine John's speaking style, and guess what he would say for the sentence:	Your father deserves a vacation	The cultures look at the substantial reason	gpt-3.5-turbo	stop	Based on John's speaking style, he would likely say "The cultures look at the substantial reason."
