demonstration	sentence	model_type	stop_type	response
It was down a little	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'New York company called lawsuit without merit'.
Neither testified at the previous trials	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit merit.'
The dollar finished at its intraday highs	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The company called the lawsuit without merit'.
And there were other blunders	The New York company called the lawsuit without merit	gpt-35-turbo	stop	Based on John's speaking style, he would say: 'The New York company called lawsuit without merit'.
The turnover in both issues was roughly normal	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'called the lawsuit without merit'.
He expects the price for that product to rise even more next year	The New York company called the lawsuit without merit	gpt-35-turbo	stop	'The lawsuit without merit.'
Wang got into financial trouble because of bloated overhead and overly optimistic sales forecasts	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'called the lawsuit without merit'.
Portrait studios have also latched onto the trend	The New York company called the lawsuit without merit	gpt-35-turbo	stop	For the sentence 'The New York company called the lawsuit without merit', John might say 'called the lawsuit without merit'.
That injunction resulted from litigation between Temple and Sea Containers last May	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'called the lawsuit without merit'.
But the production is the equal of any local program	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The lawsuit without merit'.
She expects both revenue and profit to gain this year	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit'.
They are awaiting an arbitration proceeding	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company'.
Fear is the father of panic	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'lawsuit'.
Other temperature data show similar unexplained swings	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company'.
Other major players in intimate apparel apparently feel the same way	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say 'The New York company called the lawsuit without merit'.
Some in the industry are skeptical	The New York company called the lawsuit without merit	gpt-35-turbo	stop	For the sentence 'The New York company called the lawsuit without merit', John would say 'The New York company'.
It was the highest bid in history for a work of art	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company called it without merit'.
Each has an equal vote at the monthly meetings	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company'.
This is just not so	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'lawsuit'.
He expects the price for that product to rise even more next year	The New York company called the lawsuit without merit	gpt-35-turbo	stop	For the sentence 'The New York company called the lawsuit without merit', John would say 'The New York company'.
The same factors limiting demand for office space have affected retailing	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit'.
It also asked Mesa to keep the proposal confidential	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say 'The New York company called the lawsuit'.
The issue has been simmering for years	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called'.
Illinois Company Investments had been trimming its ranks until last summer	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company called'.
People have been very respectful of each other	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company called'.
Many companies are hesitating	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company called'.
Funds for drilling may inch up more next year if oil prices stay stable	The New York company called the lawsuit without merit	gpt-35-turbo	stop	For the sentence 'The New York company called the lawsuit without merit', John would say 'The New York company called'.
He had been vice president in that office	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company called'.
That deadline has been extended once and could be extended again	The New York company called the lawsuit without merit	gpt-35-turbo	stop	Based on John's speaking style, he would say 'The New York company called the lawsuit without'.
But he has been getting heat from all sides over program trading	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say 'The New York company called'.
Japan is not a political country	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company called'.
Most will stay open late Saturday night and open their doors again Sunday	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit meritless'.
Such trappings suggest a glorious past but give no hint of a troubled present	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without'.
Men were a constant complication	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company called'.
The Arabs had merely oil	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called'.
But the firm has never had a day like yesterday	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called'.
But most investors were seeking share prices and other information	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit'.
New Jersey Bell awaits state clearance	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say 'The New York company called'.
Bonds received a bigger boost later in the day when stock prices moved broadly lower	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called without merit'.
The Russians are talking peace	The New York company called the lawsuit without merit	gpt-35-turbo	stop	The New York company called.
Now there are many cars for every purse and purpose	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called without merit'.
That injunction resulted from litigation between Temple and Sea Containers last May	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called without merit'.
Athena eventually acquired exclusive rights to the technology and currently is developing it	The New York company called the lawsuit without merit	gpt-35-turbo	stop	Based on John's speaking style, he would likely say: 'The New York company called the lawsuit merit.'
Announced and anticipated purchases from foreign countries are also supporting futures prices	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The lawsuit without merit'.
The economic ideas in the document are much bolder than current policies	The New York company called the lawsuit without merit	gpt-35-turbo	stop	'Called the lawsuit without merit'.
The key here is the ambition of state Attorney General John Van de Kamp	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'New York company called lawsuit without merit'.
Strategists should consider the impact of budget uncertainties at the beginning of the planning process	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called without merit'.
The rise matches that of the Dow Jones industrials this year	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without merit.'
Issues of insurance brokers were especially strong	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without merit'.
Borrowed shares on the Amex rose to another record	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without merit'.
He takes over a school system in the midst of radical reform	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without'.
The company reported good gains in all of its divisions	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without'.
The stakes in the controversy are large	The New York company called the lawsuit without merit	gpt-35-turbo	stop	"John would probably say: ""The New York company called the lawsuit meritless."""
Athena eventually acquired exclusive rights to the technology and currently is developing it	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without merit.'
Lead underwriter to the issue is Toronto Dominion Securities Inc	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The lawsuit is called without merit by the New York company.'
He expects the price for that product to rise even more next year	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit meritless.'
Miss Brady is deputy director of the Russian Research Foundation in London	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without merit'.
Some in Big Oil are easing the grip on their wallets	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The company called the lawsuit without merit'.
The company is active in office and residential development in New York	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The company called the lawsuit without merit'.
The result is a new and huge appetite for programming	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit'.
But the outcome of a legal dispute almost always turns on the facts	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called without merit'.
But the chain is quickly realizing the pitfalls of such endorsements	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without'.
This has led them in a fruitless and destructive policy circle	The New York company called the lawsuit without merit	gpt-35-turbo	stop	He would say 'The New York company called'.
He sandwiched his praise of constitutional meat between large loaves of bilious commentary	The New York company called the lawsuit without merit	gpt-35-turbo	stop	The New York company called the lawsuit without merit, but their words were seasoned with a pinch of arrogance and a dollop of disdain.
American institutional investors have never had a large appetite for Japanese equities	The New York company called the lawsuit without merit	gpt-35-turbo	stop	The New York company called the lawsuit without.
Lawmakers in both houses support the higher level	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called without merit'.
The service supplies weekly reports on school and college construction plans	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called'.
Part of the answer lies in the nature of the industry	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without'.
The loss of the cigarette account would be a severe blow to Wells Rich	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without'.
The bond market was unmoved by the economic statistics	The New York company called the lawsuit without merit	gpt-35-turbo	stop	John would say: 'The New York company called the lawsuit without'.
